Subnarrative,Language,Count
Renewable energy is costly,BG,6
Climate policies have negative impact on the economy,BG,18
Renewable energy is unreliable,BG,6
Other,BG,121
Discrediting Ukrainian government and officials and policies,BG,29
Ukraine is a puppet of the West,BG,30
Situation in Ukraine is hopeless,BG,20
The West are the aggressors,BG,39
"The West does not care about Ukraine, only about its interests",BG,22
The West is russophobic,BG,14
Russian invasion has strong national support,BG,5
The West is weak,BG,22
The EU is divided,BG,15
Earth will be uninhabitable soon,BG,10
Amplifying existing fears of global warming,BG,28
Russia actions in Ukraine are only self-defence,BG,9
There is a real possibility that nuclear weapons will be employed,BG,14
Russia will also attack other countries,BG,19
Western media is an instrument of propaganda,BG,5
Whatever we do it is already too late,BG,8
Climate policies are ineffective,BG,10
Criticism of the EU,BG,6
Climate cycles are natural,BG,6
Ukraine is the aggressor,BG,16
Ukraine is associated with nazism,BG,8
Climate movement is alarmist,BG,2
Methodologies/metrics used are unreliable/faulty,BG,2
Russia is a guarantor of peace and prosperity,BG,11
Climate policies are only for profit,BG,8
Criticism of international entities,BG,6
UA is anti-RU extremists,BG,3
Praise of Russian military might,BG,26
Criticism of political organizations and figures,BG,10
Blaming global elites,BG,6
Climate agenda has hidden motives,BG,6
Climate movement is corrupt,BG,2
Discrediting Ukrainian military,BG,13
Doomsday scenarios for humans,BG,6
Praise of Russian President Vladimir Putin,BG,12
Discrediting Ukrainian nation and society,BG,4
Diplomacy does/will not work,BG,6
Rewriting Ukraine’s history,BG,2
Ukrainian army is collapsing,BG,7
Human activities do not impact climate change,BG,4
By continuing the war we risk WWIII,BG,14
Ice is not melting,BG,2
Temperature increase does not have significant impact,BG,4
Scientific community is unreliable,BG,2
Criticism of national governments,BG,4
Weather suggests the trend is global cooling,BG,4
Data shows no temperature increase,BG,2
CO2 is beneficial,BG,2
Discrediting Ukrainian government and officials and policies,EN,11
Western media is an instrument of propaganda,EN,14
Other,EN,74
Situation in Ukraine is hopeless,EN,7
West is tired of Ukraine,EN,12
Praise of Russian military might,EN,7
"The West does not care about Ukraine, only about its interests",EN,10
Diplomacy does/will not work,EN,10
There is a real possibility that nuclear weapons will be employed,EN,24
The West has the strongest international support,EN,5
The West is weak,EN,12
The West belongs in the right side of history,EN,12
NATO should/will directly intervene,EN,8
Russian army is collapsing,EN,8
Russia has international support from a number of countries and people,EN,4
The West is russophobic,EN,13
Russia will also attack other countries,EN,16
The West are the aggressors,EN,31
The EU is divided,EN,7
Ukrainian media cannot be trusted,EN,2
Ukraine is a puppet of the West,EN,12
The conflict will increase the Ukrainian refugee flows to Europe,EN,2
The West is overreacting,EN,4
Ukraine is associated with nazism,EN,7
Ukraine is the aggressor,EN,5
By continuing the war we risk WWIII,EN,9
Praise of Russian President Vladimir Putin,EN,2
Ukrainian army is collapsing,EN,9
Russia actions in Ukraine are only self-defence,EN,6
UA is anti-RU extremists,EN,6
Discrediting Ukrainian military,EN,5
Sanctions imposed by Western countries will backfire,EN,6
Other,PT,262
The West has the strongest international support,PT,10
There is a real possibility that nuclear weapons will be employed,PT,8
Praise of Russian military might,PT,29
Discrediting Ukrainian military,PT,24
Sanctions imposed by Western countries will backfire,PT,5
Russia will also attack other countries,PT,11
Ukraine is a hub for criminal activities,PT,22
"The West does not care about Ukraine, only about its interests",PT,20
Ukraine is a puppet of the West,PT,19
Ukraine is the aggressor,PT,12
Discrediting Ukrainian government and officials and policies,PT,32
Ukraine is associated with nazism,PT,7
Russia actions in Ukraine are only self-defence,PT,20
The West are the aggressors,PT,16
The EU is divided,PT,3
Russia is a guarantor of peace and prosperity,PT,32
Situation in Ukraine is hopeless,PT,5
The West is russophobic,PT,9
Criticism of political organizations and figures,PT,17
Scientific community is unreliable,PT,2
Humans and nature will adapt to the changes,PT,2
CO2 is beneficial,PT,2
Climate policies have negative impact on the economy,PT,5
Climate cycles are natural,PT,4
Methodologies/metrics used are unreliable/faulty,PT,2
Climate movement is alarmist,PT,6
Diplomacy does/will not work,PT,10
Climate policies are ineffective,PT,6
Renewable energy is dangerous,PT,2
West is tired of Ukraine,PT,4
Western media is an instrument of propaganda,PT,5
The West belongs in the right side of history,PT,2
Amplifying existing fears of global warming,PT,31
Doomsday scenarios for humans,PT,11
Climate agenda has hidden motives,PT,3
Russia has international support from a number of countries and people,BG,7
Sanctions imposed by Western countries will backfire,BG,2
West is tired of Ukraine,BG,2
Ukrainian media cannot be trusted,BG,1
Russian army is collapsing,BG,3
The West has the strongest international support,BG,1
Ukraine is a hub for criminal activities,BG,4
There is a real possibility that nuclear weapons will be employed,HI,7
Western media is an instrument of propaganda,HI,8
Russia has international support from a number of countries and people,HI,13
Russia actions in Ukraine are only self-defence,HI,11
Ukraine is the aggressor,HI,5
Discrediting Ukrainian government and officials and policies,HI,8
Other,HI,22
The West is weak,HI,9
Diplomacy does/will not work,HI,6
The West is russophobic,HI,16
UA is anti-RU extremists,HI,2
The West is overreacting,HI,3
Amplifying existing fears of global warming,HI,12
Climate policies have negative impact on the economy,HI,2
Renewable energy is unreliable,HI,1
The West has the strongest international support,HI,6
By continuing the war we risk WWIII,HI,2
Praise of Russian President Vladimir Putin,HI,9
The West belongs in the right side of history,HI,5
Earth will be uninhabitable soon,HI,1
Doomsday scenarios for humans,HI,2
Ukrainian army is collapsing,HI,7
NATO will destroy Russia,HI,2
Discrediting Ukrainian military,HI,2
Russia is a guarantor of peace and prosperity,HI,14
The West are the aggressors,HI,8
Ukraine is a hub for criminal activities,HI,2
Praise of Russian military might,HI,12
Russian army is collapsing,HI,3
Situation in Ukraine is hopeless,HI,8
Russia will also attack other countries,HI,2
Russian army will lose all the occupied territories,HI,3
Rewriting Ukraine’s history,HI,3
Ukraine is a puppet of the West,HI,7
NATO should/will directly intervene,HI,2
Sanctions imposed by Western countries will backfire,HI,7
The conflict will increase the Ukrainian refugee flows to Europe,HI,4
"The West does not care about Ukraine, only about its interests",HI,8
West is tired of Ukraine,HI,2
Climate policies are ineffective,HI,1
Discrediting Ukrainian nation and society,HI,1
The EU is divided,HI,3
Ukrainian media cannot be trusted,HI,1
Humans and nature will adapt to the changes,HI,1
Methodologies/metrics used are unreliable/faulty,HI,1
Climate movement is alarmist,EN,5
Ad hominem attacks on key activists,EN,8
Blaming global elites,EN,6
Criticism of political organizations and figures,EN,7
Climate movement is corrupt,EN,3
Climate policies are ineffective,EN,4
Renewable energy is unreliable,EN,2
Renewable energy is costly,EN,2
Russian invasion has strong national support,EN,2
Criticism of national governments,EN,12
Scientific community is unreliable,EN,3
Renewable energy is dangerous,EN,1
CO2 concentrations are too small to have an impact,EN,1
CO2 is beneficial,EN,1
Russia is a guarantor of peace and prosperity,EN,2
Climate agenda has hidden motives,EN,1
Climate policies have negative impact on the economy,EN,5
Ukraine is a hub for criminal activities,EN,2
Climate policies are only for profit,EN,2
Methodologies/metrics used are unreliable/faulty,EN,3
Criticism of the EU,EN,1
Criticism of international entities,EN,3
Green activities are a form of neo-colonialism,EN,1
Ice is not melting,EN,1
Climate cycles are natural,EN,1
Greenhouse effect/carbon dioxide do not drive climate change,EN,1
Earth will be uninhabitable soon,PT,5
Whatever we do it is already too late,PT,1
Criticism of national governments,PT,18
By continuing the war we risk WWIII,PT,2
Russia has international support from a number of countries and people,PT,8
Praise of Russian President Vladimir Putin,PT,1
Climate movement is corrupt,PT,2
NATO should/will directly intervene,PT,2
Criticism of international entities,PT,3
Human activities do not impact climate change,PT,1
Climate policies are only for profit,PT,2
The West is weak,PT,3
Ukrainian army is collapsing,PT,1
